indice_tiempo,tipo_cambio_bna_vendedor
2019-04-15,43.2
2019-04-16,43.4
2019-04-17,42.9
2019-04-18,42.9
2019-04-19,42.9
2019-04-20,42.9
2019-04-21,42.9
2019-04-22,43.5
2019-04-23,43.4
2019-04-24,44.9
2019-04-25,45.9
2019-04-26,47.0
2019-04-27,47.0
2019-04-28,47.0
2019-04-29,45.3
2019-04-30,45.2
2019-05-01,45.2
2019-05-02,45.8
2019-05-03,45.4
2019-05-04,45.4
2019-05-05,45.4
2019-05-06,45.7
2019-05-07,46.3
2019-05-08,46.1
2019-05-09,46.3
2019-05-10,45.8
2019-05-11,45.8
2019-05-12,45.8
2019-05-13,46.1
2019-05-14,46.0
2019-05-15,46.0
2019-05-16,45.8
2019-05-17,46.0
2019-05-18,46.0
2019-05-19,46.0
2019-05-20,46.2
2019-05-21,45.8
2019-05-22,45.9
2019-05-23,46.1
2019-05-24,45.8
2019-05-25,45.8
2019-05-26,45.8
2019-05-27,45.9
2019-05-28,45.7
2019-05-29,45.4
2019-05-30,45.5
2019-05-31,45.8
2019-06-01,45.8
2019-06-02,45.8
2019-06-03,45.9
2019-06-04,45.7
2019-06-05,45.9
2019-06-06,45.9
2019-06-07,45.9
2019-06-08,45.9
2019-06-09,45.9
2019-06-10,45.9
2019-06-11,45.7
2019-06-12,44.7
2019-06-13,44.4
2019-06-14,45.0
2019-06-15,45.0
2019-06-16,45.0
2019-06-17,45.0
2019-06-18,44.5
2019-06-19,44.3
2019-06-20,44.3
2019-06-21,43.8
2019-06-22,43.8
2019-06-23,43.8
2019-06-24,43.5
2019-06-25,43.4
2019-06-26,43.7
2019-06-27,43.7
2019-06-28,43.5
2019-06-29,43.5
2019-06-30,43.5
2019-07-01,43.4
2019-07-02,43.2
2019-07-03,43.0
2019-07-04,42.8
2019-07-05,42.8
2019-07-06,42.8
2019-07-07,42.8
2019-07-08,42.8
2019-07-09,42.8
2019-07-10,42.8
2019-07-11,42.7
2019-07-12,42.6
2019-07-13,42.6
2019-07-14,42.6
2019-07-15,43.4
2019-07-16,43.6
2019-07-17,43.5
2019-07-18,43.5
2019-07-19,43.4
2019-07-20,43.4
2019-07-21,43.4
2019-07-22,43.4
2019-07-23,43.6
2019-07-24,43.9
2019-07-25,44.4
2019-07-26,44.4
2019-07-27,44.4
2019-07-28,44.4
2019-07-29,44.8
2019-07-30,44.9
2019-07-31,44.9
2019-08-01,45.4
2019-08-02,45.6
2019-08-03,45.6
2019-08-04,45.6
2019-08-05,46.4
2019-08-06,46.3
2019-08-07,46.6
2019-08-08,46.2
2019-08-09,46.2
2019-08-10,46.2
2019-08-11,46.2
2019-08-12,55.0
2019-08-13,58.0
2019-08-14,63.0
2019-08-15,59.0
2019-08-16,57.0
2019-08-17,57.0
2019-08-18,57.0
2019-08-19,57.0
2019-08-20,57.0
2019-08-21,57.0
2019-08-22,57.0
2019-08-23,57.0
2019-08-24,57.0
2019-08-25,57.0
2019-08-26,57.0
2019-08-27,58.0
2019-08-28,60.0
2019-08-29,60.0
2019-08-30,61.0
2019-08-31,61.0
2019-09-01,61.0
2019-09-02,57.0
2019-09-03,57.0
2019-09-04,57.0
2019-09-05,57.0
2019-09-06,57.0
2019-09-07,57.0
2019-09-08,57.0
2019-09-09,57.0
2019-09-10,57.0
2019-09-11,57.0
2019-09-12,57.25
2019-09-13,57.5
2019-09-14,57.5
2019-09-15,57.5
2019-09-16,58.0
2019-09-17,58.5
2019-09-18,58.5
2019-09-19,58.5
2019-09-20,58.5
2019-09-21,58.5
2019-09-22,58.5
2019-09-23,58.5
2019-09-24,58.5
2019-09-25,58.5
2019-09-26,59.0
2019-09-27,59.0
2019-09-28,59.0
2019-09-29,59.0
2019-09-30,59.0
2019-10-01,59.5
2019-10-02,59.5
2019-10-03,59.5
2019-10-04,59.4
2019-10-05,59.4
2019-10-06,59.4
2019-10-07,59.4
2019-10-08,59.4
2019-10-09,59.5
2019-10-10,59.5
2019-10-11,59.5
2019-10-12,59.5
2019-10-13,59.5
2019-10-14,59.5
2019-10-15,59.5
2019-10-16,59.5
2019-10-17,59.5
2019-10-18,60.0
2019-10-19,60.0
2019-10-20,60.0
2019-10-21,60.5
2019-10-22,60.5
2019-10-23,61.5
2019-10-24,62.5
2019-10-25,65.0
2019-10-26,65.0
2019-10-27,65.0
2019-10-28,63.5
2019-10-29,63.5
2019-10-30,63.5
2019-10-31,63.5
2019-11-01,63.5
2019-11-02,63.5
2019-11-03,63.5
2019-11-04,63.5
2019-11-05,63.5
2019-11-06,63.5
2019-11-07,63.0
2019-11-08,63.0
2019-11-09,63.0
2019-11-10,63.0
2019-11-11,63.0
2019-11-12,62.75
2019-11-13,62.75
2019-11-14,62.75
2019-11-15,62.5
2019-11-16,62.5
2019-11-17,62.5
2019-11-18,62.5
2019-11-19,62.5
2019-11-20,62.5
2019-11-21,62.5
2019-11-22,62.5
2019-11-23,62.5
2019-11-24,62.5
2019-11-25,62.5
2019-11-26,62.25
2019-11-27,62.25
2019-11-28,62.25
2019-11-29,62.25
2019-11-30,62.25
2019-12-01,62.25
2019-12-02,62.25
2019-12-03,62.25
2019-12-04,62.25
2019-12-05,62.25
2019-12-06,62.25
2019-12-07,62.25
2019-12-08,62.25
2019-12-09,62.5
2019-12-10,62.75
2019-12-11,63.0
2019-12-12,63.0
2019-12-13,63.0
2019-12-14,63.0
2019-12-15,63.0
2019-12-16,63.0
2019-12-17,63.0
2019-12-18,63.0
2019-12-19,63.0
2019-12-20,63.0
2019-12-21,63.0
2019-12-22,63.0
2019-12-23,63.0
2019-12-24,63.0
2019-12-25,63.0
2019-12-26,63.0
2019-12-27,63.0
2019-12-28,63.0
2019-12-29,63.0
2019-12-30,63.0
2019-12-31,63.0
2020-01-01,63.0
2020-01-02,63.0
2020-01-03,63.0
2020-01-04,63.0
2020-01-05,63.0
2020-01-06,63.0
2020-01-07,63.0
2020-01-08,63.0
2020-01-09,63.0
2020-01-10,63.0
2020-01-11,63.0
2020-01-12,63.0
2020-01-13,63.0
2020-01-14,63.0
2020-01-15,63.0
2020-01-16,63.0
2020-01-17,63.0
2020-01-18,63.0
2020-01-19,63.0
2020-01-20,63.0
2020-01-21,63.0
2020-01-22,63.0
2020-01-23,63.0
2020-01-24,63.0
2020-01-25,63.0
2020-01-26,63.0
2020-01-27,63.0
2020-01-28,63.0
2020-01-29,63.0
2020-01-30,63.0
2020-01-31,63.0
2020-02-01,63.0
2020-02-02,63.0
2020-02-03,63.0
2020-02-04,63.0
2020-02-05,63.0
2020-02-06,63.0
2020-02-07,63.0
2020-02-08,63.0
2020-02-09,63.0
2020-02-10,63.0
2020-02-11,63.25
2020-02-12,63.25
2020-02-13,63.25
2020-02-14,63.25
2020-02-15,63.25
2020-02-16,63.25
2020-02-17,63.25
2020-02-18,63.25
2020-02-19,63.5
2020-02-20,63.5
2020-02-21,63.5
2020-02-22,63.5
2020-02-23,63.5
2020-02-24,63.5
2020-02-25,63.5
2020-02-26,63.75
2020-02-27,63.75
2020-02-28,64.0
2020-02-29,64.0
2020-03-01,64.0
2020-03-02,64.0
2020-03-03,64.0
2020-03-04,64.0
2020-03-05,64.0
2020-03-06,64.0
2020-03-07,64.0
2020-03-08,64.0
2020-03-09,64.0
2020-03-10,64.0
2020-03-11,64.0
2020-03-12,64.5
2020-03-13,64.5
2020-03-14,64.5
2020-03-15,64.5
2020-03-16,64.5
2020-03-17,64.5
2020-03-18,65.0
2020-03-19,65.0
2020-03-20,65.0
2020-03-21,65.0
2020-03-22,65.0
2020-03-23,65.0
2020-03-24,65.0
2020-03-25,65.25
2020-03-26,65.25
2020-03-27,65.5
2020-03-28,65.5
2020-03-29,65.5
2020-03-30,65.75
2020-03-31,65.75
2020-04-01,66.0
2020-04-02,66.0
2020-04-03,66.0
2020-04-04,66.0
2020-04-05,66.0
2020-04-06,66.25
2020-04-07,66.5
2020-04-08,66.5
2020-04-09,66.5
2020-04-10,66.5
2020-04-11,66.5
2020-04-12,66.5
2020-04-13,66.75
2020-04-14,66.75
2020-04-15,66.75
2020-04-16,67.25
2020-04-17,67.25
2020-04-18,67.25
2020-04-19,67.25
2020-04-20,67.5
2020-04-21,67.75
2020-04-22,67.75
2020-04-23,67.75
2020-04-24,68.25
2020-04-25,68.25
2020-04-26,68.25
2020-04-27,68.25
2020-04-28,68.5
2020-04-29,68.5
2020-04-30,68.75
2020-05-01,68.75
2020-05-02,68.75
2020-05-03,68.75
2020-05-04,68.75
2020-05-05,68.75
2020-05-06,69.25
2020-05-07,69.25
2020-05-08,69.25
2020-05-09,69.25
2020-05-10,69.25
2020-05-11,69.25
2020-05-12,69.25
2020-05-13,69.75
2020-05-14,69.75
2020-05-15,69.75
2020-05-16,69.75
2020-05-17,69.75
2020-05-18,70.0
2020-05-19,70.0
2020-05-20,70.0
2020-05-21,70.0
2020-05-22,70.25
2020-05-23,70.25
2020-05-24,70.25
2020-05-25,70.25
2020-05-26,70.25
2020-05-27,70.25
2020-05-28,70.25
2020-05-29,70.5
2020-05-30,70.5
2020-05-31,70.5
2020-06-01,70.5
2020-06-02,70.5
2020-06-03,70.5
2020-06-04,70.75
2020-06-05,70.75
2020-06-06,70.75
2020-06-07,70.75
2020-06-08,70.75
2020-06-09,71.5
2020-06-10,71.5
2020-06-11,71.5
2020-06-12,72.0
2020-06-13,72.0
2020-06-14,72.0
2020-06-15,72.0
2020-06-16,72.25
2020-06-17,72.25
2020-06-18,72.25
2020-06-19,72.5
2020-06-20,72.5
2020-06-21,72.5
2020-06-22,72.5
2020-06-23,73.0
2020-06-24,73.0
2020-06-25,73.0
2020-06-26,73.0
2020-06-27,73.0
2020-06-28,73.0
2020-06-29,73.5
2020-06-30,73.5
2020-07-01,73.5
2020-07-02,73.75
2020-07-03,74.0
2020-07-04,74.0
2020-07-05,74.0
2020-07-06,74.0
2020-07-07,74.0
2020-07-08,74.5
2020-07-09,74.5
2020-07-10,74.5
2020-07-11,74.5
2020-07-12,74.5
2020-07-13,74.5
2020-07-14,75.0
2020-07-15,75.0
2020-07-16,75.0
2020-07-17,75.25
2020-07-18,75.25
2020-07-19,75.25
2020-07-20,75.5
2020-07-21,75.5
2020-07-22,75.5
2020-07-23,75.5
2020-07-24,75.75
2020-07-25,75.75
2020-07-26,75.75
2020-07-27,75.75
2020-07-28,76.0
2020-07-29,76.0
2020-07-30,76.0
2020-07-31,76.25
2020-08-01,76.25
2020-08-02,76.25
2020-08-03,76.5
2020-08-04,76.5
2020-08-05,76.75
2020-08-06,76.75
2020-08-07,76.75
2020-08-08,76.75
2020-08-09,76.75
2020-08-10,77.0
2020-08-11,77.0
2020-08-12,77.0
2020-08-13,77.25
2020-08-14,77.25
2020-08-15,77.25
2020-08-16,77.25
2020-08-17,77.25
2020-08-18,77.5
2020-08-19,77.5
2020-08-20,77.5
2020-08-21,77.5
2020-08-22,77.5
2020-08-23,77.5
2020-08-24,77.75
2020-08-25,77.75
2020-08-26,77.75
2020-08-27,77.75
2020-08-28,78.0
2020-08-29,78.0
2020-08-30,78.0
2020-08-31,78.0
2020-09-01,78.25
2020-09-02,78.25
2020-09-03,78.25
2020-09-04,78.5
2020-09-05,78.5
2020-09-06,78.5
2020-09-07,78.5
2020-09-08,78.75
2020-09-09,78.75
2020-09-10,79.0
2020-09-11,79.0
2020-09-12,79.0
2020-09-13,79.0
2020-09-14,79.0
2020-09-15,79.25
2020-09-16,79.25
2020-09-17,79.25
2020-09-18,79.25
2020-09-19,79.25
2020-09-20,79.25
2020-09-21,79.5
2020-09-22,79.5
2020-09-23,79.5
2020-09-24,79.75
2020-09-25,79.75
2020-09-26,79.75
2020-09-27,79.75
2020-09-28,79.75
2020-09-29,80.0
2020-09-30,80.0
2020-10-01,80.25
2020-10-02,81.5
2020-10-03,81.5
2020-10-04,81.5
2020-10-05,81.75
2020-10-06,82.0
2020-10-07,82.0
2020-10-08,82.0
2020-10-09,82.0
2020-10-10,82.0
2020-10-11,82.0
2020-10-12,82.0
2020-10-13,82.25
2020-10-14,82.25
2020-10-15,82.5
2020-10-16,82.5
2020-10-17,82.5
2020-10-18,82.5
2020-10-19,82.5
2020-10-20,82.75
2020-10-21,83.0
2020-10-22,83.25
2020-10-23,83.5
2020-10-24,83.5
2020-10-25,83.5
2020-10-26,83.5
2020-10-27,83.5
2020-10-28,83.5
2020-10-29,83.5
2020-10-30,83.5
2020-10-31,83.5
2020-11-01,83.5
2020-11-02,83.75
2020-11-03,84.0
2020-11-04,84.25
2020-11-05,84.25
2020-11-06,84.25
2020-11-07,84.25
2020-11-08,84.25
2020-11-09,84.25
2020-11-10,84.75
2020-11-11,84.75
2020-11-12,85.0
2020-11-13,85.0
2020-11-14,85.0
2020-11-15,85.0
2020-11-16,85.25
2020-11-17,85.25
2020-11-18,85.25
2020-11-19,85.5
2020-11-20,85.5
2020-11-21,85.5
2020-11-22,85.5
2020-11-23,85.5
2020-11-24,85.5
2020-11-25,85.75
2020-11-26,86.0
2020-11-27,86.25
2020-11-28,86.25
2020-11-29,86.25
2020-11-30,86.5
2020-12-01,86.5
2020-12-02,86.5
2020-12-03,86.75
2020-12-04,86.75
2020-12-05,86.75
2020-12-06,86.75
2020-12-07,86.75
2020-12-08,86.75
2020-12-09,87.25
2020-12-10,87.5
2020-12-11,87.5
2020-12-12,87.5
2020-12-13,87.5
2020-12-14,87.5
2020-12-15,87.75
2020-12-16,87.75
2020-12-17,87.75
2020-12-18,88.0
2020-12-19,88.0
2020-12-20,88.0
2020-12-21,88.25
2020-12-22,88.25
2020-12-23,88.5
2020-12-24,88.5
2020-12-25,88.5
2020-12-26,88.5
2020-12-27,88.5
2020-12-28,88.75
2020-12-29,89.0
2020-12-30,89.25
2020-12-31,89.25
2021-01-01,89.25
2021-01-02,89.25
2021-01-03,89.25
2021-01-04,89.5
2021-01-05,89.75
2021-01-06,89.75
2021-01-07,90.0
2021-01-08,90.0
2021-01-09,90.0
2021-01-10,90.0
2021-01-11,90.25
2021-01-12,90.5
2021-01-13,90.5
2021-01-14,90.75
2021-01-15,90.75
2021-01-16,90.75
2021-01-17,90.75
2021-01-18,91.0
2021-01-19,91.25
2021-01-20,91.25
2021-01-21,91.5
2021-01-22,91.75
2021-01-23,91.75
2021-01-24,91.75
2021-01-25,92.0
2021-01-26,92.0
2021-01-27,92.0
2021-01-28,92.0
2021-01-29,92.25
2021-01-30,92.25
2021-01-31,92.25
2021-02-01,92.5
2021-02-02,92.5
2021-02-03,92.5
2021-02-04,92.75
2021-02-05,93.0
2021-02-06,93.0
2021-02-07,93.0
2021-02-08,93.25
2021-02-09,93.25
2021-02-10,93.25
2021-02-11,93.5
2021-02-12,93.5
2021-02-13,93.5
2021-02-14,93.5
2021-02-15,93.5
2021-02-16,93.5
2021-02-17,93.75
2021-02-18,93.75
2021-02-19,94.0
2021-02-20,94.0
2021-02-21,94.0
2021-02-22,94.25
2021-02-23,94.25
2021-02-24,94.5
2021-02-25,94.5
2021-02-26,94.5
2021-02-27,94.5
2021-02-28,94.5
2021-03-01,94.75
2021-03-02,95.0
2021-03-03,95.0
2021-03-04,95.0
2021-03-05,95.0
2021-03-06,95.0
2021-03-07,95.0
2021-03-08,95.25
2021-03-09,95.5
2021-03-10,95.5
2021-03-11,95.75
2021-03-12,95.75
2021-03-13,95.75
2021-03-14,95.75
2021-03-15,96.0
2021-03-16,96.25
2021-03-17,96.25
2021-03-18,96.5
2021-03-19,96.5
2021-03-20,96.5
2021-03-21,96.5
2021-03-22,96.75
2021-03-23,97.0
2021-03-24,97.0
2021-03-25,97.0
2021-03-26,97.25
2021-03-27,97.25
2021-03-28,97.25
2021-03-29,97.25
2021-03-30,97.25
2021-03-31,97.5
2021-04-01,97.5
2021-04-02,97.5
2021-04-03,97.5
2021-04-04,97.5
2021-04-05,97.75
2021-04-06,97.75
2021-04-07,98.0
2021-04-08,98.0
2021-04-09,98.0
2021-04-10,98.0
2021-04-11,98.0
2021-04-12,98.0
2021-04-13,98.0
2021-04-14,98.25
2021-04-15,98.25
2021-04-16,98.25
2021-04-17,98.25
2021-04-18,98.25
2021-04-19,98.25
2021-04-20,98.25
2021-04-21,98.25
2021-04-22,98.25
2021-04-23,98.25
2021-04-24,98.25
2021-04-25,98.25
2021-04-26,98.5
2021-04-27,98.5
2021-04-28,98.5
2021-04-29,98.5
2021-04-30,98.5
2021-05-01,98.5
2021-05-02,98.5
2021-05-03,98.75
2021-05-04,98.75
2021-05-05,98.75
2021-05-06,98.75
2021-05-07,99.0
2021-05-08,99.0
2021-05-09,99.0
2021-05-10,99.0
2021-05-11,99.0
2021-05-12,99.0
2021-05-13,99.0
2021-05-14,99.0
2021-05-15,99.0
2021-05-16,99.0
2021-05-17,99.0
2021-05-18,99.25
2021-05-19,99.25
2021-05-20,99.25
2021-05-21,99.5
2021-05-22,99.5
2021-05-23,99.5
2021-05-24,99.5
2021-05-25,99.5
2021-05-26,99.5
2021-05-27,99.75
2021-05-28,99.75
2021-05-29,99.75
2021-05-30,99.75
2021-05-31,99.75
2021-06-01,100.0
2021-06-02,100.0
2021-06-03,100.0
2021-06-04,100.0
2021-06-05,100.0
2021-06-06,100.0
2021-06-07,100.0
2021-06-08,100.0
2021-06-09,100.0
2021-06-10,100.0
2021-06-11,100.0
2021-06-12,100.0
2021-06-13,100.0
2021-06-14,100.25
2021-06-15,100.25
2021-06-16,100.25
2021-06-17,100.25
2021-06-18,100.25
2021-06-19,100.25
2021-06-20,100.25
2021-06-21,100.25
2021-06-22,100.25
2021-06-23,100.5
2021-06-24,100.5
2021-06-25,100.5
2021-06-26,100.5
2021-06-27,100.5
2021-06-28,100.5
2021-06-29,100.75
2021-06-30,100.75
2021-07-01,100.75
2021-07-02,100.75
2021-07-03,100.75
2021-07-04,100.75
2021-07-05,101.0
2021-07-06,101.0
2021-07-07,101.0
2021-07-08,101.0
2021-07-09,101.0
2021-07-10,101.0
2021-07-11,101.0
2021-07-12,101.0
2021-07-13,101.25
2021-07-14,101.25
2021-07-15,101.25
2021-07-16,101.25
2021-07-17,101.25
2021-07-18,101.25
2021-07-19,101.5
2021-07-20,101.5
2021-07-21,101.5
2021-07-22,101.5
2021-07-23,101.5
2021-07-24,101.5
2021-07-25,101.5
2021-07-26,101.5
2021-07-27,101.75
2021-07-28,101.75
2021-07-29,101.75
2021-07-30,101.75
2021-07-31,101.75
2021-08-01,101.75
2021-08-02,101.75
2021-08-03,102.0
2021-08-04,102.0
2021-08-05,102.0
2021-08-06,102.0
2021-08-07,102.0
2021-08-08,102.0
2021-08-09,102.0
2021-08-10,102.0
2021-08-11,102.0
2021-08-12,102.0
2021-08-13,102.25
2021-08-14,102.25
2021-08-15,102.25
2021-08-16,102.25
2021-08-17,102.25
2021-08-18,102.25
2021-08-19,102.5
2021-08-20,102.5
2021-08-21,102.5
2021-08-22,102.5
2021-08-23,102.5
2021-08-24,102.5
2021-08-25,102.5
2021-08-26,102.75
2021-08-27,102.75
2021-08-28,102.75
2021-08-29,102.75
2021-08-30,102.75
2021-08-31,102.75
2021-09-01,103.0
2021-09-02,103.0
2021-09-03,103.0
2021-09-04,103.0
2021-09-05,103.0
2021-09-06,103.0
2021-09-07,103.0
2021-09-08,103.25
2021-09-09,103.25
2021-09-10,103.25
2021-09-11,103.25
2021-09-12,103.25
2021-09-13,103.25
2021-09-14,103.25
2021-09-15,103.5
2021-09-16,103.5
2021-09-17,103.5
2021-09-18,103.5
2021-09-19,103.5
2021-09-20,103.75
2021-09-21,103.75
2021-09-22,103.75
2021-09-23,103.75
2021-09-24,103.75
2021-09-25,103.75
2021-09-26,103.75
2021-09-27,103.75
2021-09-28,103.75
2021-09-29,103.75
2021-09-30,104.0
2021-10-01,104.0
2021-10-02,104.0
2021-10-03,104.0
2021-10-04,104.0
2021-10-05,104.25
2021-10-06,104.25
2021-10-07,104.25
2021-10-08,104.25
2021-10-09,104.25
2021-10-10,104.25
2021-10-11,104.25
2021-10-12,104.25
2021-10-13,104.25
2021-10-14,104.25
2021-10-15,104.5
2021-10-16,104.5
2021-10-17,104.5
2021-10-18,104.5
2021-10-19,104.75
2021-10-20,104.75
2021-10-21,104.75
2021-10-22,104.75
2021-10-23,104.75
2021-10-24,104.75
2021-10-25,104.75
2021-10-26,104.75
2021-10-27,105.0
2021-10-28,105.0
2021-10-29,105.0
2021-10-30,105.0
2021-10-31,105.0
2021-11-01,105.0
2021-11-02,105.0
2021-11-03,105.0
2021-11-04,105.25
2021-11-05,105.25
2021-11-06,105.25
2021-11-07,105.25
2021-11-08,105.25
2021-11-09,105.25
2021-11-10,105.25
2021-11-11,105.25
2021-11-12,105.25
2021-11-13,105.25
2021-11-14,105.25
2021-11-15,105.5
2021-11-16,105.5
2021-11-17,105.5
2021-11-18,105.5
2021-11-19,105.5
2021-11-20,105.5
2021-11-21,105.5
2021-11-22,105.5
2021-11-23,105.75
2021-11-24,105.75
2021-11-25,105.75
2021-11-26,105.75
2021-11-27,105.75
2021-11-28,105.75
2021-11-29,105.75
2021-11-30,106.0
2021-12-01,106.25
2021-12-02,106.25
2021-12-03,106.25
2021-12-04,106.25
2021-12-05,106.25
2021-12-06,106.25
2021-12-07,106.5
2021-12-08,106.5
2021-12-09,106.75
2021-12-10,106.75
2021-12-11,106.75
2021-12-12,106.75
2021-12-13,106.75
2021-12-14,107.0
2021-12-15,107.0
2021-12-16,107.0
2021-12-17,107.0
2021-12-18,107.0
2021-12-19,107.0
